ACCEL_XOUT_H,ACCEL_YOUT_H,ACCEL_ZOUT_H,GYRO_XOUT_H,GYRO_YOUT_H,GYRO_ZOUT_H,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,CHECKSUM,target
5768,15240,6684,-51,-1,-30,239,175,134,192,181,28531,good
6072,14848,6736,-43,-6,-28,239,175,134,192,181,28500,good
5800,15020,6956,-30,-4,-3,239,175,134,192,181,28660,good
6088,15096,6492,-41,25,-14,239,175,133,192,181,28566,good
5988,14968,6776,-40,-11,-17,239,175,133,192,181,28584,good
5876,15152,6696,-47,5,-28,239,175,133,192,181,28574,good
5924,14936,6780,-50,5,-24,239,175,133,192,181,28491,good
6132,14956,6644,-57,-6,-16,239,175,133,192,181,28573,good
6060,15132,6532,-42,10,-15,239,175,133,192,181,28597,good
5900,15076,6552,-43,-10,-5,239,175,133,192,181,28390,good
5996,15320,6752,-50,13,-27,239,175,133,192,181,28924,good
5988,14944,6660,-53,-6,-32,239,175,133,192,181,28421,good
6020,15028,6456,-49,22,-41,239,175,133,192,181,28356,good
6192,14944,6868,-26,12,-16,239,175,133,192,181,28894,good
5968,15028,6604,-54,-6,-5,239,175,133,192,181,28455,good
6020,15104,6804,-43,-256,-8,239,175,133,192,181,28541,good
5928,15192,6684,-42,6,-21,239,175,133,192,181,28667,good
6020,15196,6736,-56,4,-35,239,175,133,192,181,28785,good
5860,15004,6824,-30,-10,-22,239,175,133,192,181,28546,good
6000,14988,6736,-39,-14,-16,239,175,133,192,181,28575,good
6496,15216,6396,-63,-40,-133,239,175,133,192,181,28792,good
5764,15484,6604,-83,-33,-4,239,175,133,192,181,28652,good
5656,14996,6608,-67,-27,4,239,175,133,192,181,28090,good
6200,14996,6728,-43,-13,17,239,175,133,192,181,28805,good
6368,15464,6632,-57,2,-25,239,175,133,192,181,29304,good
6152,14980,6840,-39,-14,-14,239,175,134,192,181,28826,good
6136,15320,6680,-45,-7,-27,239,175,133,192,181,28977,good
6284,15160,6588,-40,-7,-28,239,175,134,192,181,28878,good
6092,14992,6752,-82,-24,-41,239,175,134,192,181,28610,good
6284,15080,6820,-71,3,17,239,175,134,193,181,29055,good
6228,14968,6600,-68,-44,-28,239,175,134,193,181,28578,good
6060,15020,6884,-50,-26,-31,239,176,134,193,181,28780,good
6152,15320,6500,-41,3,-11,239,176,134,193,181,28846,good
6316,14916,7012,-32,-5,1,239,176,134,193,181,29131,good
5964,14972,7212,-50,-7,-6,239,176,135,193,181,29009,good
6168,14844,7156,-34,5,-34,240,176,135,193,181,29030,good
5992,14972,7072,-45,0,-10,240,176,135,193,181,28906,good
6156,14644,7320,-30,-48,4,240,177,135,193,181,28972,good
6432,15044,6828,-34,10,-7,240,177,135,193,181,29199,good
6516,14852,7080,-95,-33,32,239,176,135,193,181,29276,good
7012,14504,7020,-42,-1,-3,239,176,135,193,181,29414,good
6468,14340,7092,-30,31,-29,239,175,134,193,181,28794,good
6520,14448,7008,0,42,2,239,175,133,192,181,28940,good
6720,15044,6660,-32,-13,-24,239,175,134,192,181,29276,good
6564,14356,6768,-19,11,-26,239,175,134,193,181,28576,good
6660,14656,6840,-23,7,-33,239,175,134,193,181,29029,good
6776,14972,6904,-32,7,-44,239,176,134,193,181,29506,good
6536,14612,6696,-64,-19,4,239,176,134,193,181,28688,good
6716,14296,7024,-46,-15,-26,239,176,134,193,181,28872,good
6672,15012,6784,-33,16,-21,239,176,134,193,181,29353,good
6620,14980,6724,-41,1,-18,239,176,134,193,181,29189,good
6756,14928,6564,-46,25,-17,239,176,134,193,181,29133,good
6696,14760,7100,-43,11,-25,239,176,134,193,181,29422,good
6636,14996,6724,-46,16,-18,239,176,134,193,181,29231,good
6500,14884,6768,-30,-3,-39,239,176,134,193,181,29003,good
6384,15064,6756,-49,18,-9,239,176,134,193,181,29087,good
6352,14648,6816,-42,-11,-8,239,176,134,193,181,28678,good
6348,14892,6756,-36,11,-29,239,176,134,193,181,28865,good
6324,14812,6708,-47,-11,-10,239,176,134,193,181,28699,good
6348,15040,6952,-30,-7,-19,239,176,134,193,181,29207,good
6356,15052,6892,-51,-4,-9,239,176,134,193,181,29159,good
6376,14648,6852,-72,-8,-3,239,176,134,193,181,28716,good
6260,15044,6728,-7,28,-6,239,176,134,193,181,28970,good
6236,14968,6780,-20,17,-40,239,176,134,193,181,28864,good
6540,15012,6468,-98,-29,-26,239,176,134,193,181,28790,good
6600,14760,6488,-44,-80,-31,239,176,134,193,181,28616,good
6524,14836,6640,-33,-4,-26,239,176,134,193,181,28860,good
6468,15004,6712,-86,-2,-35,239,176,134,193,181,28984,good
6216,14936,7124,-32,27,-23,239,176,134,193,181,29171,good
6212,14804,6832,-44,1,-18,239,176,134,193,181,28710,good
5880,14956,7004,-24,28,-29,239,176,134,193,181,28738,good
6064,15152,6760,-53,12,-13,239,176,134,193,181,28845,good
6160,15092,6560,-53,11,-8,239,176,134,193,181,28685,good
6004,15056,6792,-54,21,-17,239,176,134,193,181,28725,good
5920,15240,6792,-53,-1,-10,239,176,134,193,181,28811,good
6276,15196,6552,-45,-11,-13,239,176,134,193,181,28878,good
6116,14956,6704,-54,6,-19,239,176,134,193,181,28632,good
6200,15056,6808,-60,13,-20,239,176,134,193,181,28920,good
5932,15068,6888,-46,0,-20,239,176,134,193,181,28745,good
6056,15172,6768,-49,-1,-11,239,176,134,193,181,28858,good
5832,15196,6836,-57,-13,-18,239,176,134,193,181,28699,good
6024,15192,7144,-35,-7,-13,239,176,134,193,181,29228,good
6040,15020,6752,-52,-2,-25,239,176,134,193,181,28656,good
6100,14908,6800,-45,0,-16,239,176,134,193,181,28670,good
6104,15100,6588,-63,0,-22,239,176,134,193,181,28630,good
6124,15208,6732,-51,-1,-29,239,176,134,193,181,28906,good
6088,14952,6716,-43,-15,-21,239,176,134,193,181,28600,good
5960,14956,6508,-36,3,-13,239,176,134,193,181,28301,good
6052,15332,6944,-47,-30,-18,239,176,134,193,181,29156,good
6016,15200,6864,-52,7,-24,239,176,134,193,181,28934,good
6132,14764,6740,-62,6,-21,239,176,134,193,181,28482,good
5944,15316,6864,-2,-6,-15,239,176,134,193,181,29024,good
5996,14996,6784,-62,17,-17,239,176,134,193,181,28637,good
5848,15252,6896,-40,6,-25,239,176,134,193,181,28860,good
6072,15240,6936,-27,17,-22,239,176,134,193,181,29139,good
6008,15160,6852,-31,-18,-20,239,176,134,193,181,28874,good
5852,15164,7008,-35,-6,-19,239,176,134,193,181,28887,good
6048,15116,6848,-15,14,-38,239,176,134,193,181,28896,good
5940,14896,6604,-50,10,-14,239,176,134,193,181,28309,good
6012,15132,6580,-55,16,-25,239,176,134,193,181,28583,good
5960,15268,6600,-72,-19,8,239,176,134,193,181,28668,good
5912,14844,6872,-31,11,-22,239,176,134,193,181,28509,good
5748,15280,6592,-55,-2,-8,239,176,134,193,181,28478,good
6136,15008,6956,-60,-25,-12,239,176,134,193,181,28926,good
5764,14944,7140,-54,-9,-20,239,176,134,193,181,28688,good
5768,15236,6720,-34,-3,-28,239,176,134,193,181,28582,good
5916,15340,6824,-34,1,-31,239,176,134,193,181,28939,good
5640,15028,6952,-65,-4,-18,239,176,134,193,181,28456,good
5964,15124,6812,-57,-7,-18,239,176,134,193,181,28741,good
5816,14960,7076,-70,9,-35,239,176,134,193,181,28679,good
5876,15080,7120,-50,-254,-9,239,176,134,193,181,28686,good
5848,15184,6884,-37,6,-3,239,176,134,193,181,28805,good
6040,14996,6844,-54,-2,-24,239,176,134,193,181,28723,good
5872,15016,7076,-57,6,-4,239,176,134,193,181,28832,good
5916,15136,6952,-37,7,-6,239,176,134,193,181,28891,good
6024,15016,7040,-49,-5,-7,239,176,134,193,181,28942,good
6016,15152,6844,-39,-2,-15,239,176,134,193,181,28879,good
5968,14952,7136,-47,10,-21,239,176,134,193,181,28921,good
5816,15028,6860,-47,5,-18,239,176,134,193,181,28567,good
5856,15132,7140,-47,-256,-19,239,176,134,193,181,28729,good
5796,15004,7020,-38,1,-15,239,176,134,193,181,28691,good
5968,15028,6996,-55,-1,-10,239,176,134,193,181,28849,good
6020,15160,6868,-55,5,-19,239,176,134,193,181,28902,good
5808,15064,7344,-42,6,-8,239,176,134,193,181,29095,good
5928,15056,7032,-55,0,-19,239,176,134,193,181,28865,good
5788,15092,7300,-57,-7,-24,239,176,134,193,181,29015,good
5884,15140,7172,-57,-5,-18,239,176,134,193,181,29039,good
6136,14724,7236,-16,-17,-25,239,176,134,193,181,28961,good
6040,14944,7044,-22,20,-17,239,176,134,193,181,28932,good
6052,14960,7068,-70,-40,-5,239,176,135,193,181,28889,good
6192,14596,7116,-60,-12,-33,239,176,135,193,181,28723,good
6084,15100,7128,-40,-4,-8,239,176,135,193,181,29184,good
5916,14892,7176,-54,-13,-17,239,176,135,193,181,28824,good
5812,15052,7212,-65,10,-24,239,176,135,193,181,28921,good
5992,14628,7464,-60,-5,-8,239,177,135,193,181,28936,good
6040,15076,7384,-42,-7,-5,239,176,135,193,181,29370,good
6136,14992,7084,-44,-6,-37,239,177,135,193,181,29050,good
6020,14772,7464,-44,1,-13,239,177,135,193,181,29125,good
6144,14908,7132,-55,-9,-13,239,177,135,193,181,29032,good
6160,14652,7384,-55,-3,-31,239,177,135,193,181,29032,good
6176,14688,7304,-37,-6,-23,239,177,135,193,181,29027,good
5864,15060,7348,-33,2,5,239,177,135,193,181,29171,good
5788,15188,6956,-43,8,-16,239,177,135,193,181,28806,good
6036,14928,7204,-46,-16,-6,239,177,135,193,181,29025,good
5860,15092,6956,-54,10,-33,239,177,135,193,181,28756,good
6076,14868,7304,-60,23,-20,239,177,135,193,181,29116,good
6040,14852,7372,-62,-12,-15,240,177,135,193,181,29101,good
5808,15148,7336,-67,10,-5,240,177,135,193,181,29156,good
6072,14736,7316,-55,-5,-35,239,177,134,193,181,28953,good
6044,14984,7416,-38,5,4,239,177,134,193,181,29339,good
6080,14736,7508,-32,2,-12,239,177,135,193,181,29207,good
5972,14764,7120,1,-18,21,239,177,135,193,181,28785,good
6048,14676,7236,-112,-21,-6,239,177,135,193,181,28746,good
6164,14868,7352,-25,16,-24,239,177,135,193,181,29276,good
5808,14456,7704,-104,-41,-1,239,177,135,193,181,28747,good
5976,15064,7360,-66,4,-26,239,177,135,193,181,29237,good
6048,14636,7628,-41,-256,-7,239,177,135,193,181,28933,good
5972,14844,7452,-63,13,-5,239,177,135,193,181,29138,good
6044,15136,7468,-76,22,-22,239,177,135,193,181,29497,good
5932,14884,7632,-36,4,-4,239,177,135,193,181,29337,good
5748,15036,7932,-58,-19,-7,239,177,135,193,181,29557,good
5988,14784,7508,-59,3,-25,240,177,135,193,181,29125,good
5952,14784,7532,-51,-13,-10,239,177,135,193,181,29119,good
6132,14816,7232,-54,14,0,239,177,134,193,181,29064,good
6028,14856,7584,-33,-15,-18,239,177,134,193,181,29326,good
6000,14796,7448,-53,5,-28,239,177,134,193,181,29092,good
5976,14792,7524,-20,10,-24,239,177,134,193,181,29182,good
5652,14796,7600,-60,-15,-12,239,177,134,193,181,28885,good
6200,14640,7780,-53,-15,10,239,177,134,193,181,29486,good
6248,14620,7652,-20,-5,-23,239,177,134,193,181,29396,good
6052,14596,7716,-35,-3,-36,239,177,134,193,181,29214,good
6136,14756,7592,-51,-15,-15,239,177,134,193,181,29327,good
6184,14644,7200,-44,13,-26,239,177,134,193,181,28895,good
6156,14672,7324,-45,-17,-13,239,177,134,193,181,29001,good
5920,14656,7532,-35,16,-1,239,177,135,193,181,29013,good
6108,14856,7724,-51,22,-3,239,177,135,193,181,29581,good
6208,14804,7564,-44,3,-14,239,177,135,193,181,29446,good
6188,14696,7588,-54,-7,-35,239,177,134,193,181,29300,good
6132,14772,7688,-45,-5,-13,239,177,135,193,181,29454,good
6236,14716,7872,-25,-10,-9,239,177,135,193,181,29705,good
6356,14740,7632,-47,16,-8,239,177,135,193,181,29614,good
